Name,F,M,Total,Era
Jan,14912,7370,22282,Modern
Sunday,1335,27,1362,Modern
Monday,30,,30,Modern
Tuesday,2225,,2225,Modern
January,1815,,1815,Modern
Sun,333,256,589,Modern
Jas,13,54,67,Modern
March,69,24,93,Modern
April,216437,653,217090,Modern
June,17644,521,18165,Modern
July,547,79,626,Modern
August,2285,8641,10926,Modern
Mar,184,147,331,Modern
May,4799,117,4916,Modern
Jun,56,926,982,Modern
Wednesday,655,,655,Modern
Friday,23,,23,Modern
Mon,,5,5,Modern
Tue,,11,11,Modern
Thu,747,5,752,Modern
September,1654,,1654,Modern
October,409,,409,Modern
November,370,,370,Modern
December,1063,,1063,Modern
Aaban,,5,5,Modern
Aabid,,5,5,Modern
Aabriella,5,,5,Modern
Aadam,,117,117,Modern
Aadan,,35,35,Modern
Aadarsh,,93,93,Modern
Aaden,,1263,1263,Modern
Aadesh,,5,5,Modern
Aadhav,,11,11,Modern
Aadhya,37,,37,Modern
Aadi,5,314,319,Modern
Aadil,,210,210,Modern
Aadin,,42,42,Modern
Aadit,,122,122,Modern
Aadith,,17,17,Modern
Aaditya,,247,247,Modern
Aadon,,39,39,Modern
Aadya,115,,115,Modern
Aadyn,9,129,138,Modern
Aafreen,5,,5,Modern
Aahan,,35,35,Modern
Aahana,117,,117,Modern
Aahil,,107,107,Modern
Aahliyah,18,,18,Modern
Aahna,12,,12,Modern
Aahron,,5,5,Modern
Aaidan,,25,25,Modern
Aaiden,,122,122,Modern
Aailiyah,5,,5,Modern
Aailyah,117,,117,Modern
Aairah,7,,7,Modern
Aaisha,130,,130,Modern
Aaishah,12,,12,Modern
Aaja,5,,5,Modern
Aajah,24,,24,Modern
Aajaylah,20,,20,Modern
Aajon,,8,8,Modern
Aakanksha,5,,5,Modern
Aakarsh,,20,20,Modern
Aakash,,690,690,Modern
Aakeem,,16,16,Modern
Aakilah,18,,18,Modern
Aakira,5,,5,Modern
Aakiyah,5,,5,Modern
Aakriti,6,,6,Modern
Aala,23,,23,Modern
Aalaiyah,16,,16,Modern
Aalana,24,,24,Modern
Aalanah,5,,5,Modern
Aalani,5,,5,Modern
Aalap,,6,6,Modern
Aalaya,49,,49,Modern
Aalayah,327,,327,Modern
Aalayjah,6,,6,Modern
Aalayna,10,,10,Modern
Aalaysha,17,,17,Modern
Aalaysia,57,,57,Modern
Aaleah,105,,105,Modern
Aaleeya,5,,5,Modern
Aaleeyah,44,,44,Modern
Aaleigha,82,,82,Modern
Aaleiyah,12,,12,Modern
Aalexis,20,,20,Modern
Aalexus,6,,6,Modern
Aaleyah,301,,301,Modern
Aalia,176,,176,Modern
Aaliah,538,,538,Modern
Aalias,,5,5,Modern
Aaliayah,99,,99,Modern
Aaliayh,47,,47,Modern
Aalicia,5,,5,Modern
Aaliha,12,,12,Modern
Aalijah,63,67,130,Modern
Aalim,,12,12,Modern
Aalina,5,,5,Modern
Aalisha,17,,17,Modern
Aalivia,18,,18,Modern
Aaliya,617,,617,Modern
Aaliyah,44537,54,44591,Modern
Aaliyaha,21,,21,Modern
Aaliyahmarie,11,,11,Modern
Aaliyan,54,,54,Modern
Aaliyana,41,,41,Modern
Aaliyha,341,,341,Modern
Aaliyiah,10,,10,Modern
Aalliyah,142,,142,Modern
Aallyah,5,,5,Modern
Aalok,,5,5,Modern
Aalon,,5,5,Modern
Aalyah,458,,458,Modern
Aalycia,25,,25,Modern
Aalyha,19,,19,Modern
Aalyia,5,,5,Modern
Aalyiah,452,,452,Modern
Aalysia,6,,6,Modern
Aalyssa,76,,76,Modern
Aamanda,10,,10,Modern
Aamani,69,,69,Modern
Aamar,,5,5,Modern
Aamari,42,30,72,Modern
Aamarion,,5,5,Modern
Aamaya,5,,5,Modern
Aamber,14,,14,Modern
Aamena,5,,5,Modern
Aamer,,25,25,Modern
Aamia,6,,6,Modern
Aamil,,5,5,Modern
Aamina,149,,149,Modern
Aaminah,165,,165,Modern
Aamir,,826,826,Modern
Aamira,95,,95,Modern
Aamirah,78,,78,Modern
Aamiya,23,,23,Modern
Aamiyah,163,,163,Modern
Aamna,143,,143,Modern
Aamori,57,,57,Modern
Aamya,100,,100,Modern
Aamyah,29,,29,Modern
Aana,7,,7,Modern
Aanand,,5,5,Modern
Aanchal,67,,67,Modern
Aania,18,,18,Modern
Aaniah,33,,33,Modern
Aanijah,5,,5,Modern
Aanika,125,,125,Modern
Aanisah,39,,39,Modern
Aaniya,166,,166,Modern
Aaniyah,679,,679,Modern
Aanshi,15,,15,Modern
Aanvi,25,,25,Modern
Aanya,765,,765,Modern
Aanyah,61,,61,Modern
Aapri,5,,5,Modern
Aaqib,,11,11,Modern
Aaqil,,10,10,Modern
Aaralyn,526,,526,Modern
Aaralynn,84,,84,Modern
Aaran,,124,124,Modern
Aaraon,,5,5,Modern
Aarav,,666,666,Modern
Aaren,277,571,848,Modern
Aareon,10,15,25,Modern
Aaria,35,,35,Modern
Aariah,87,,87,Modern
Aarian,16,11,27,Modern
Aariana,231,,231,Modern
Aarianna,113,,113,Modern
Aaric,,248,248,Modern
Aarica,95,,95,Modern
Aarick,,22,22,Modern
Aariel,114,,114,Modern
Aarielle,6,,6,Modern
Aarik,,63,63,Modern
Aarika,638,,638,Modern
Aarilyn,20,,20,Modern
Aarin,277,298,575,Modern
Aarini,13,,13,Modern
Aarion,123,311,434,Modern
Aariona,162,,162,Modern
Aarionna,82,,82,Modern
Aaris,16,16,32,Modern
Aarish,,23,23,Modern
Aarit,,15,15,Modern
Aariv,,13,13,Modern
Aariya,7,,7,Modern
Aariyah,116,,116,Modern
Aariyana,34,,34,Modern
Aariyanna,14,,14,Modern
Aariyona,5,,5,Modern
Aariyonna,5,,5,Modern
Aariz,,84,84,Modern
Aarjav,,8,8,Modern
Aarn,,17,17,Modern
Aarna,179,,179,Modern
Aarnav,,105,105,Modern
Aarohi,74,,74,Modern
Aaron,3880,471448,475328,Modern
Aarona,5,,5,Modern
Aaronda,5,,5,Modern
Aaronette,11,,11,Modern
Aaronisha,6,,6,Modern
Aaronjacob,,5,5,Modern
Aaronjames,,85,85,Modern
Aaronjohn,,21,21,Modern
Aaronjoseph,,7,7,Modern
Aaronjosh,,5,5,Modern
Aaronjoshua,,10,10,Modern
Aaronlee,,5,5,Modern
Aaronmichael,,69,69,Modern
Aaronn,,22,22,Modern
Aaroosh,,6,6,Modern
Aarren,,5,5,Modern
Aarron,,1140,1140,Modern
Aarsh,,12,12,Modern
Aarthi,97,,97,Modern
Aarti,401,,401,Modern
Aarush,,393,393,Modern
Aarushi,398,,398,Modern
Aarya,303,141,444,Modern
Aaryah,11,,11,Modern
Aaryan,,405,405,Modern
Aaryana,52,,52,Modern
Aaryanna,152,,152,Modern
Aaryn,701,449,1150,Modern
Aaryon,,5,5,Modern
Aaryona,5,,5,Modern
Aasha,177,,177,Modern
Aashana,5,,5,Modern
Aashay,,18,18,Modern
Aashi,197,,197,Modern
Aashia,6,,6,Modern
Aashika,21,,21,Modern
Aashir,,35,35,Modern
Aashish,,113,113,Modern
Aashita,6,,6,Modern
Aashiyana,5,,5,Modern
Aashka,69,,69,Modern
Aashna,351,,351,Modern
Aashni,16,,16,Modern
Aashrita,11,,11,Modern
Aashrith,,25,25,Modern
Aashritha,39,,39,Modern
Aashvi,42,,42,Modern
Aasia,139,,139,Modern
Aasim,,114,114,Modern
Aasin,,52,52,Modern
Aasiya,60,,60,Modern
Aasiyah,249,,249,Modern
Aastha,197,,197,Modern
Aatif,,10,10,Modern
Aatish,,11,11,Modern
Aava,24,,24,Modern
Aaven,,7,7,Modern
Aavin,,5,5,Modern
Aavion,,5,5,Modern
Aaya,38,,38,Modern
Aayaan,,9,9,Modern
Aayah,17,,17,Modern
Aayan,,293,293,Modern
Aayana,76,,76,Modern
Aayanah,5,,5,Modern
Aayanna,33,,33,Modern
Aayden,,160,160,Modern
Aayla,114,,114,Modern
Aaylah,6,,6,Modern
Aayliah,41,,41,Modern
Aayush,,517,517,Modern
Aayushi,124,,124,Modern
Aaziyah,9,,9,Modern
Ab,,258,258,Modern
Aba,22,5,27,Modern
Abaan,,5,5,Modern
Abad,,60,60,Modern
Abagael,184,,184,Modern
Abagail,4338,,4338,Modern
Abagaile,15,,15,Modern
Abagale,300,,300,Modern
Abagayle,292,,292,Modern
Abaigael,13,,13,Modern
Abaigail,5,,5,Modern
Abaigeal,251,,251,Modern
Abanoub,,86,86,Modern
Abas,,33,33,Modern
Abasi,,40,40,Modern
Abass,,45,45,Modern
Abayomi,,209,209,Modern
Abba,,12,12,Modern
Abbaas,,5,5,Modern
Abbagail,638,,638,Modern
Abbagale,93,,93,Modern
Abbagayle,90,,90,Modern
Abbas,,698,698,Modern
Abbe,846,,846,Modern
Abbee,135,,135,Modern
Abbegail,213,,213,Modern
Abbegale,70,,70,Modern
Abbegayle,68,,68,Modern
Abbey,15256,12,15268,Modern
Abbeygail,36,,36,Modern
Abbeygale,22,,22,Modern
Abbi,1706,,1706,Modern
Abbie,12139,,12139,Modern
Abbiegail,163,,163,Modern
Abbiegale,34,,34,Modern
Abbigael,129,,129,Modern
Abbigail,8498,5,8503,Modern
Abbigaile,64,,64,Modern
Abbigal,110,,110,Modern
Abbigale,1600,,1600,Modern
Abbigayl,29,,29,Modern
Abbigayle,1026,,1026,Modern
Abbott,5,154,159,Modern
Abbra,36,,36,Modern
Abbrielle,66,,66,Modern
Abby,47936,132,48068,Modern
Abbye,172,,172,Modern
Abbygael,38,,38,Modern
Abbygail,2074,,2074,Modern
Abbygaile,18,,18,Modern
Abbygale,535,,535,Modern
Abbygayl,6,,6,Modern
Abbygayle,343,,343,Modern
Abcde,248,,248,Modern
Abd,,17,17,Modern
Abdala,,6,6,Modern
Abdalah,,6,6,Modern
Abdalla,,179,179,Modern
Abdallah,,790,790,Modern
Abdalrahman,,74,74,Modern
Abdel,,408,408,Modern
Abdelaziz,,61,61,Modern
Abdelhadi,,5,5,Modern
Abdelkareem,,10,10,Modern
Abdelkarim,,15,15,Modern
Abdellah,,10,10,Modern
Abdelrahman,,373,373,Modern
Abdi,10,137,147,Modern
Abdias,,315,315,Modern
Abdiasis,,6,6,Modern
Abdiaziz,,47,47,Modern
Abdiel,,1648,1648,Modern
Abdifatah,,84,84,Modern
Abdihakim,,11,11,Modern
Abdihamid,,5,5,Modern
Abdikadir,,54,54,Modern
Abdikarim,,10,10,Modern
Abdimalik,,63,63,Modern
Abdinasir,,77,77,Modern
Abdiqani,,6,6,Modern
Abdirahim,,17,17,Modern
Abdirahman,,632,632,Modern
Abdirashid,,14,14,Modern
Abdirizak,,34,34,Modern
Abdisalam,,5,5,Modern
Abdisalan,,6,6,Modern
Abdishakur,,14,14,Modern
Abdiwahab,,6,6,Modern
Abdo,,36,36,Modern
Abdon,,257,257,Modern
Abdou,,132,132,Modern
Abdoul,,250,250,Modern
Abdoulaye,,358,358,Modern
Abdoulaziz,,5,5,Modern
Abdoulie,,77,77,Modern
Abdourahman,,5,5,Modern
Abdourahmane,,11,11,Modern
Abdrahman,,5,5,Modern
Abdrew,,6,6,Modern
Abdu,,26,26,Modern
Abdual,,17,17,Modern
Abduallah,,16,16,Modern
Abduel,,5,5,Modern
Abdul,,4497,4497,Modern
Abdula,,39,39,Modern
Abdulah,,70,70,Modern
Abdulahad,,6,6,Modern
Abdulahi,,187,187,Modern
Abdulai,,41,41,Modern
Abdulazeez,,16,16,Modern
Abdulaziz,,574,574,Modern
Abdule,,6,6,Modern
Abdulhadi,,29,29,Modern
Abdulhakeem,,21,21,Modern
Abdulhakim,,16,16,Modern
Abdulhalim,,5,5,Modern
Abdulhamid,,23,23,Modern
Abduljalil,,5,5,Modern
Abdulkadir,,57,57,Modern
Abdulkareem,,96,96,Modern
Abdulkarim,,68,68,Modern
Abdull,,5,5,Modern
Abdulla,,331,331,Modern
Abdullah,,3865,3865,Modern
Abdullahi,,520,520,Modern
Abdullatif,,15,15,Modern
Abdulmajid,,10,10,Modern
Abdulmalik,,190,190,Modern
Abdulqadir,,13,13,Modern
Abdulraheem,,50,50,Modern
Abdulrahim,,56,56,Modern
Abdulrahman,,1055,1055,Modern
Abdulrehman,,22,22,Modern
Abdulrhman,,5,5,Modern
Abdulsalam,,10,10,Modern
Abdulsamad,,5,5,Modern
Abdulwahab,,66,66,Modern
Abdur,,199,199,Modern
Abdurahman,,154,154,Modern
Abdurraheem,,7,7,Modern
Abdurrahim,,27,27,Modern
Abdurrahmaan,,5,5,Modern
Abdurrahman,,426,426,Modern
Abdurrehman,,12,12,Modern
Abdussamad,,6,6,Modern
Abe,,1603,1603,Modern
Abeal,,5,5,Modern
Abed,,170,170,Modern
Abedallah,,16,16,Modern
Abedalrahman,,11,11,Modern
Abednego,,31,31,Modern
Abeeha,14,,14,Modern
Abeer,434,,434,Modern
Abegail,396,,396,Modern
Abegale,5,,5,Modern
Abegayle,16,,16,Modern
Abel,77,24555,24632,Modern
Abelardo,,2640,2640,Modern
Abelina,255,,255,Modern
Abelino,,398,398,Modern
Abella,163,,163,Modern
Aben,,7,7,Modern
Abena,469,,469,Modern
Abenezer,,34,34,Modern
Abeni,309,,309,Modern
Aber,5,,5,Modern
Aberdeen,22,,22,Modern
Aberham,,15,15,Modern
Abernathy,6,,6,Modern
Abery,7,,7,Modern
Abey,17,10,27,Modern
Abgail,22,,22,Modern
Abha,25,,25,Modern
Abhay,,295,295,Modern
Abhi,,132,132,Modern
Abhigna,6,,6,Modern
Abhijay,,50,50,Modern
Abhijeet,,45,45,Modern
Abhijit,,32,32,Modern
Abhik,,10,10,Modern
Abhilash,,22,22,Modern
Abhimanyu,,80,80,Modern
Abhinav,,993,993,Modern
Abhinay,,5,5,Modern
Abhiraj,,11,11,Modern
Abhiram,,331,331,Modern
Abhirup,,10,10,Modern
Abhishek,,676,676,Modern
Abi,362,11,373,Modern
Abia,30,,30,Modern
Abiageal,66,,66,Modern
Abiah,7,,7,Modern
Abianna,5,,5,Modern
Abibail,6,,6,Modern
Abid,,236,236,Modern
Abida,24,,24,Modern
Abidan,,10,10,Modern
Abie,40,145,185,Modern
Abiegail,10,,10,Modern
Abiel,12,608,620,Modern
Abiela,5,,5,Modern
Abiella,10,,10,Modern
Abiezer,,7,7,Modern
Abigael,1201,5,1206,Modern
Abigaelle,24,,24,Modern
Abigahil,25,,25,Modern
Abigai,6,,6,Modern
Abigail,253145,513,253658,Modern
Abigaile,440,,440,Modern
Abigaille,16,,16,Modern
Abigal,602,,602,Modern
Abigale,4217,,4217,Modern
Abigayil,15,,15,Modern
Abigayl,270,,270,Modern
Abigayle,4792,5,4797,Modern
Abigeal,15,,15,Modern
Abigel,10,,10,Modern
Abigial,115,,115,Modern
Abiha,14,,14,Modern
Abihail,29,,29,Modern
Abijah,17,155,172,Modern
Abilene,539,,539,Modern
Abilgail,28,,28,Modern
Abilio,,5,5,Modern
Abimael,,767,767,Modern
Abimbola,80,,80,Modern
Abimelec,,32,32,Modern
Abin,,5,5,Modern
Abinadab,,5,5,Modern
Abinadi,,22,22,Modern
Abinav,,14,14,Modern
Abinaya,30,,30,Modern
Abiodun,,18,18,Modern
Abiola,115,32,147,Modern
Abiona,14,,14,Modern
Abir,81,116,197,Modern
Abira,10,,10,Modern
Abiram,,5,5,Modern
Abirami,26,,26,Modern
Abisag,10,,10,Modern
Abisai,,538,538,Modern
Abish,17,,17,Modern
Abisha,14,,14,Modern
Abishai,,71,71,Modern
Abishek,,50,50,Modern
Abisola,59,,59,Modern
Abiud,,6,6,Modern
Abiyah,5,,5,Modern
Abla,5,,5,Modern
Able,,435,435,Modern
Abner,,2916,2916,Modern
